anio,mes,recaudacion,emae,ipc_argentina,ipc_cordoba,ipc_tucuman,ipc_santafe,ipc_gba,ipc_mendoza,exportaciones,importaciones,dolar_blue,dolar_oficial,monedas_publico,ingresos_familiares
1980,5,,,,,0.0544460560080329,,,5.151807847453031e-07,,,,,,
1980,6,,,,,0.0703629245582478,,,5.587868190818166e-07,,,,,,
1980,7,,,,,0.0499209173586397,,,5.789866767992094e-07,,,,,,
1980,8,,,,,0.0303172959231711,,,5.987716794048025e-07,,,,,,
1980,9,,,,,0.0567486064150598,,,6.220154959149984e-07,,,,,,
1980,10,,,,,0.0540470425458319,,,6.641757242101784e-07,,,,,,
1980,11,,,,,0.0406103864139797,,,6.84631438571468e-07,,,,,,
1980,12,,,,,0.0439924314096499,,,7.063555501572729e-07,,,,,,
1981,1,,,,,0.0326989880682676,,,7.32231216880711e-07,,,,,,
1981,2,,,,,0.0478976234003656,,,7.575322146476881e-07,,,,,,
1981,3,,,,,0.0531751570132589,,,8.036410550967732e-07,,,,,,
1981,4,,,,,0.0761993108931884,,,8.675851892733798e-07,,,,,,
1981,5,,,,,0.0758527274966136,,,9.273437227564728e-07,,,,,,
1981,6,,,,,0.1124527869978254,,,1.030314363467747e-06,,,,,,
1981,7,,,,,0.075775502855085,,,1.124875179682382e-06,,,,,,
1981,8,,,,,0.0802888293802601,,,1.193913272871156e-06,,,,,,
1981,9,,,,,0.0880439112921074,,,1.2815348037254925e-06,,,,,,
1981,10,,,,,0.0586248982912937,,,1.362541769437379e-06,,,,,,
1981,11,,,,,0.076822566388686,,,1.5066159816891248e-06,,,,,,
1981,12,,,,,0.0910421127765881,,,1.6704208810104646e-06,,,,,,
1982,1,,,,,0.1013705799614013,,,1.8690581032597115e-06,,,,,,
1982,2,,,,,0.0547074547074546,,,1.963870684929596e-06,,,,,,
1982,3,,,,,0.0490256814597882,,,2.05616561204699e-06,,,,,,
1982,4,,,,,0.0339301532762461,,,2.12870553384059e-06,,,,,,
1982,5,,,,,0.037386089259288,,,2.2513410592865643e-06,,,,,,
1982,6,,,,,0.0775083214455541,,,2.492435092398246e-06,,,,,,
1982,7,,,,,0.187044177079946,,,2.902126151394244e-06,,,,,,
1982,8,,,,,0.138532881992682,,,3.2990715842182644e-06,,,,,,
1982,9,,,,,0.1952326120954852,,,3.834974382513205e-06,,,,,,
1982,10,,,,,0.1138510647475807,,,4.558084823583306e-06,,,,,,
1982,11,,,,,0.1207383979861874,,,5.054162904411596e-06,,,,,,
